t_index	term	df
1	0000	1
2	0136	1
3	015	6
4	02	1
5	021111206	1
6	06	3
7	07	1
8	0for5	1
9	1	114
10	10	178
11	100	64
12	1000	44
13	10000	34
14	100000	30
15	100000strong	2
16	10000seat	5
17	1000yearold	1
18	10016	2
19	10017	1
20	10018	1
21	1006	1
22	1008	1
23	100degre	1
24	101	4
25	10115	1
26	101150050	1
27	101162247	1
28	101mile	1
29	101milelong	1
30	1020	5
31	103	6
32	1030	5
33	1033	1
34	104	1
35	106th	1
36	107th	2
37	108	3
38	10800	1
39	10day	1
40	10minut	1
41	10monthlong	1
42	10page	2
43	10peopl	1
44	10stori	1
45	10th	14
46	10year	12
47	10yearold	4
48	11	79
49	110	1
50	1100	5
51	11000	3
52	110degre	1
53	111	1
54	1111	1
55	1118	4
56	1120	2
57	1122	1
58	1127	1
59	1130	5
60	1135	5
61	113yearold	1
62	115	2
63	1157	1
64	116	2
65	116yearold	6
66	117	1
67	118	48
68	118574	3
69	118man	1
70	119	1
71	1199	1
72	1199seiu	1
73	11judg	1
74	11member	1
75	11percentag	1
76	11th	8
77	11yearold	2
78	12	211
79	120	3
80	1200	19
81	12000	6
82	1202	1
83	120member	1
84	120seat	6
85	1215	7
86	123	3
87	124	2
88	1244	1
89	1245	1
90	125	5
91	1250	1
92	125000	3
93	12501	1
94	126683	2
95	128player	1
96	12gaug	1
97	12hour	1
98	12inch	1
99	12mile	2
100	12milelong	2
101	12stori	1
102	12strong	1
103	12th	16
104	12thseed	1
105	12year	5
106	12yearold	20
107	13	115
108	130	2
109	1300	2
110	13000	9
111	131	7
112	1314	2
113	1315	1
114	132	1
115	134	3
116	135	3
117	135000	1
118	137133	2
119	138page	2
120	139countri	1
121	13day	1
122	13match	1
123	13th	9
124	13thseed	1
125	13year	13
126	14	63
127	140	13
128	1400	3
129	14000	5
130	141000	2
131	143	2
132	1431	1
133	144	1
134	145	2
135	1450	1
136	14500	3
137	145mile	1
138	146	1
139	14650ton	1
140	146th	1
141	147	2
142	1498	2
143	1499	1
144	14th	2
145	14thseed	1
146	14year	3
147	14yearold	3
148	15	75
149	150	23
150	1500	17
151	15000	13
152	150000	20
153	150000plu	1
154	15000seat	1
155	1500foot	5
156	1500mile	2
157	151	2
158	1516	2
159	152	1
160	153	1
161	153000	2
162	1538	6
163	1545	3
164	155	2
165	15foothigh	3
166	15hour	5
167	15minut	6
168	15month	1
169	15nation	2
170	15seed	2
171	15th	5
172	15thseed	1
173	15yearold	1
174	16	78
175	160	2
176	1600	3
177	16000	2
178	160000	2
179	16148	3
180	163000	1
181	16317	1
182	1640	1
183	165	1
184	16557	1
185	168	1
186	16inch	1
187	16member	2
188	16page	1
189	16th	2
190	16thseed	1
191	16year	1
192	16yearold	9
193	17	211
194	170	2
195	1700	3
196	170000	1
197	17061	1
198	17090	1
199	172	1
200	175	1
201	176	4
202	176174	1
203	177	1
204	178	2
205	1784	1
206	1792	1
207	17th	1
208	17yearold	12
209	18	46
210	180	2
211	1800	2
212	18000	6
213	18002258550	1
214	18002577575	2
215	18002hunger	1
216	1800424adra	1
217	1800521care	1
218	18005355433	1
219	18005548583	1
220	180055crwrc	1
221	18006787255	1
222	18007363467	1
223	180077oxfam	1
224	18008897146	1
225	1800forkid	1
226	1800helpnow	2
227	1800lwrlwr2	1
228	1800sponsor	1
229	1819	1
230	182	2
231	1839	1
232	185	2
233	1869	1
234	187	1
235	1876	1
236	188	1
237	1881	1
238	1888	3
239	18883920392	1
240	188856child	1
241	18footdeep	2
242	18member	1
243	18monthold	5
244	18parti	9
245	18th	2
246	18year	1
247	18yearold	10
248	19	76
249	190	3
250	190000	3
251	1904	1
252	1906	1
253	1907	3
254	1909	1
255	1914	1
256	1920	2
257	1927	2
258	1928	5
259	193	1
260	1930	1
261	19303	1
262	1931	2
263	1932	2
264	1933	1
265	1937	1
266	1941	1
267	1944	1
268	1945	7
269	1947	2
270	1948	1
271	1950	12
272	1953	1
273	1954	4
274	1956	1
275	1957	2
276	1960	16
277	1961	4
278	1962	3
279	1963	2
280	1964	2
281	1965	1
282	1966	2
283	1967	17
284	1968	9
285	196878	2
286	1969	14
287	1970	19
288	1971	1
289	1972	8
290	1973	12
291	1974	7
292	1975	24
293	197577	1
294	1976	6
295	1977	9
296	197781	1
297	1978	2
298	1979	4
299	1980	48
300	1981	12
301	1982	4
302	1983	23
303	1984	9
304	1985	16
305	198590	2
306	1986	14
307	198687	1
308	1987	10
309	198794	1
310	1988	13
311	1989	23
312	1990	73
313	199099	1
314	1991	30
315	199192	1
316	199193	3
317	1992	58
318	1993	38
319	1994	47
320	1995	65
321	1996	112
322	199697	3
323	1997	39
324	199799	1
325	1998	125
326	199899	1
327	1999	85
328	19minut	1
329	19th	1
330	19yearold	12
331	1hour	3
332	1rank	1
333	1st	1
334	1yearold	2
335	2	84
336	20	152
337	200	48
338	2000	76
339	20000	23
340	200000	19
341	2000foot	2
342	2001	10
343	2002	13
344	2003	1
345	200300	1
346	20036	1
347	2004	8
348	2005	3
349	2006	1
350	2008	1
351	2010	2
352	201000	1
353	2015	3
354	2028576533	1
355	203	4
356	2035	1
357	204	1
358	209	4
359	20904	1
360	20footby40foot	2
361	20minut	1
362	20page	2
363	20percentag	1
364	20th	8
365	20thcenturi	1
366	20to40foot	1
367	20year	12
368	20yearold	10
369	21	23
370	210	2
371	2100	1
372	212037090	1
373	2125561927	1
374	2125578000	1
375	2128702167	1
376	2128850832	1
377	212989832	1
378	215	4
379	215000	1
380	216	3
381	217	1
382	219	4
383	21foot	1
384	21gun	2
385	21nation	1
386	21st	3
387	21stcenturi	1
388	21yearold	1
389	22	53
390	22000	1
391	220megawatt	2
392	22192	1
393	222	6
394	222209	2
395	223	2
396	22314	1
397	224	26
398	2247	1
399	225	3
400	2267	1
401	22match	3
402	22member	3
403	22nd	5
404	22yearold	11
405	23	62
406	230	4
407	231	1
408	2315	1
409	232	4
410	23261	1
411	234	2
412	2340	1
413	23500	1
414	236	1
415	23622	1
416	236693	2
417	238	4
418	23rd	1
419	23yearold	9
420	24	98
421	240	4
422	2400	2
423	2403	2
424	241	4
425	2412	2
426	243000	1
427	245	2
428	246	5
429	246day	1
430	247	1
431	24carat	1
432	24citi	1
433	24hour	1
434	24th	9
435	24yearold	10
436	25	81
437	250	6
438	2500	16
439	25000	12
440	250member	2
441	253	2
442	255	4
443	257	1
444	2583	2
445	259	1
446	2595	1
447	25foot	1
448	25th	6
449	25yearold	1
450	26	47
451	26000	3
452	264	1
453	26484	1
454	267	1
455	269	1
456	26yearold	1
457	27	15
458	270	8
459	271	1
460	275	6
461	27yearold	6
462	28	21
463	2800	1
464	28000	7
465	2829	1
466	283	2
467	2834	2
468	2850	1
469	28th	1
470	28yearold	1
471	29	33
472	293	3
473	293strong	3
474	295	1
475	29yearold	3
476	2hour	3
477	2nd	5
478	2seed	1
479	2storey	1
480	2yearold	7
481	3	108
482	30	129
483	300	29
484	3000	18
485	30000	25
486	300000	13
487	300yardswid	1
488	30303	1
489	3040	2
490	308	3
491	30andov	1
492	30by40foot	2
493	30hour	1
494	30minut	1
495	30straight	1
496	30year	1
497	30yearold	11
498	31	23
499	310	2
500	315	2
501	31521	1
502	316	2
503	31st	1
504	31yearold	3
505	32	12
506	320	1
507	32000	2
508	325	1
509	327	3
510	329	1
511	3291	1
512	33	43
513	330	3
514	33000	1
515	332	1
516	333	1
517	335	6
518	33footlong	1
519	33rd	1
520	34	15
521	34000	2
522	345	5
523	348	1
524	34foot	2
525	34yearold	2
526	35	58
527	350	16
528	350bed	1
529	357	2
530	357calib	2
531	35magnitud	1
532	35year	3
533	35yearold	1
534	36	58
535	36000	1
536	3622	1
537	37	27
538	370	1
539	3700	1
540	372	3
541	3750	1
542	38	22
543	38248	1
544	387	1
545	38th	2
546	38yearold	4
547	39	63
548	39yearold	4
549	3day	1
550	3foothigh	1
551	3rd	12
552	3to2	1
553	3yearold	6
554	4	41
555	40	114
556	400	27
557	4000	7
558	40000	2
559	400000	3
560	403	2
561	4030	1
562	4040	2
563	40bed	1
564	40by40	2
565	40by40feet	1
566	40by40foot	13
567	40foot	9
568	40footby40foot	2
569	40footlong	1
570	40man	1
571	40member	1
572	40page	1
573	40th	1
574	40yearold	6
575	41	15
576	41000	1
577	4102	2
578	415	1
579	418	3
580	41st	1
581	41yearold	4
582	42	28
583	421	1
584	426	1
585	42day	1
586	43	14
587	435	5
588	4350	2
589	43rd	7
590	43yearold	1
591	44	15
592	440	1
593	440000	2
594	443	1
595	444	3
596	4440	1
597	44yearold	4
598	45	36
599	4500	1
600	45000	4
601	454	1
602	456	2
603	46	38
604	46000	1
605	466	1
606	4692	3
607	47	12
608	47101968	1
609	472	1
610	47242846	1
611	473385	2
612	475	2
613	475000	1
614	47minut	2
615	47yearold	1
616	48	33
617	480	1
618	4800	1
619	48000	1
620	48421815	1
621	48591357	1
622	48hour	1
623	48inch	2
624	48th	1
625	49	2
626	49000	1
627	494	1
628	4949	1
629	49560	1
630	4all	2
631	4point	3
632	4seed	1
633	4time	1
634	4yearold	9
635	5	99
636	50	105
637	500	26
638	5000	24
639	50000	13
640	500000	17
641	500footlong	1
642	500year	1
643	5048	3
644	5049	1
645	505	1
646	5050	7
647	505foot	10
648	505footlong	1
649	50calib	1
650	50minut	1
651	50year	5
652	50yearold	2
653	51	20
654	51000	2
655	5134	1
656	5135	2
657	514	1
658	515	4
659	5150	1
660	51st	2
661	51yearold	1
662	52	22
663	527	1
664	5272	2
665	52nd	1
666	53	26
667	5347	1
668	539947	1
669	54	45
670	54000	1
671	543000	2
672	5446	7
673	54th	1
674	54yearold	7
675	55	28
676	550	2
677	55degre	1
678	55minut	2
679	55year	8
680	55yearold	4
681	56	15
682	56000ton	1
683	565	1
684	56yearold	7
685	57	13
686	57yearold	1
687	58	23
688	580	1
689	58000	11
690	584foot	1
691	58year	1
692	59	18
693	59000	1
694	5958	1
695	596	2
696	5foot2	5
697	5foot8inch	1
698	5footlong	1
699	5th	31
700	5yearold	6
701	6	55
702	60	88
703	600	19
704	6000	10
705	60000	3
706	600000	4
707	6000mile	1
708	600acr	1
709	600th	1
710	60189	1
711	6072	3
712	609	2
713	60foot	1
714	60mile	1
715	60squaremil	1
716	61	94
717	615	1
718	6164	1
719	6181	1
720	62	138
721	620	1
722	6200	2
723	6262	1
724	627	1
725	62yearold	12
726	63	105
727	630	3
728	64	149
729	6400	2
730	6444	1
731	645	2
732	646	5
733	648	1
734	64yearold	5
735	65	26
736	650	2
737	65000	1
738	651	2
739	653	1
740	66	19
741	660	1
742	66yearold	4
743	67	16
744	672	1
745	675	3
746	677	1
747	67member	1
748	67yearold	1
749	68	5
750	680	1
751	682	1
752	683	2
753	683rd	1
754	687	1
755	68yearold	3
756	69	7
757	69magnitud	1
758	6all	1
759	6love	1
760	6th	1
761	7	57
762	70	28
763	700	9
764	7000	16
765	70000	5
766	700000member	1
767	701	1
768	70200	1
769	7035190092	1
770	7036845528	1
771	70yearold	1
772	71	1
773	710	2
774	711	2
775	7162	3
776	72	5
777	720	1
778	726	2
779	728	1
780	72yearold	1
781	730	3
782	733	3
783	74	6
784	740	1
785	7400	1
786	745	1
787	747	1
788	75	55
789	750	3
790	7500	1
791	750000	2
792	752	1
793	7555022	1
794	75horsepow	1
795	75yearold	3
796	76	74
797	7600	5
798	76000	1
799	762	1
800	76magnitud	9
801	77	11
802	7729	1
803	776	1
804	777200	1
805	7777	1
806	78	6
807	780	1
808	780000	1
809	78day	4
810	79	41
811	79magnitud	5
812	79yearold	2
813	7foot	1
814	7th	2
815	7yearold	1
816	8	75
817	80	24
818	800	9
819	8000	12
820	80000	3
821	800000	2
822	8000ton	1
823	8003683202	1
824	8018	1
825	8059644767	1
826	80yearold	2
827	81	3
828	81yearold	4
829	83	3
830	830	3
831	8300	5
832	8300ton	1
833	832	1
834	8320	1
835	84	2
836	845	3
837	846	2
838	85	5
839	850	6
840	85260	1
841	85magnitud	4
842	86	18
843	8600ton	8
844	8655	1
845	86th	2
846	87	1
847	88	1
848	8883469867	1
849	8monthold	1
850	8seed	2
851	8th	7
852	8yearold	2
853	9	34
854	90	29
855	900	1
856	9000	2
857	90069	1
858	903	1
859	90degre	1
860	91	1
861	91000	1
862	9100ton	2
863	911	5
864	918	1
865	92	1
866	925000	1
867	92nd	1
868	93	3
869	930	9
870	93117	1
871	93degre	2
872	94	1
873	95	6
874	95degre	1
875	96	5
876	97	8
877	97yearold	1
878	98	2
879	98133	1
880	98440	2
881	98481	1
882	989	1
883	99	11
884	99day	1
885	99year	1
886	99yearold	1
887	9point	1
888	9th	4
889	9yearold	1
890	aan	1
891	aaron	3
892	ab	1
893	aback	1
894	abahd	1
895	abandon	37
896	abat	1
897	abc	100
898	abccom	1
899	abcnewscom	3
900	abdallah	2
901	abdel	3
902	abdomin	2
903	abduct	4
904	abdul	5
905	abdulkarim	11
906	abdullah	49
907	abdurahman	1
908	aberr	1
909	abhad	1
910	abhiyan	1
911	abhorr	2
912	abid	8
913	abidjan	87
914	abijan	4
915	abil	36
916	abl	135
917	ablaz	3
918	abnorm	1
919	aboard	144
920	abobo	3
921	abolish	4
922	abomin	1
923	abort	15
924	abou	1
925	abound	5
926	abov	51
927	abovo	2
928	abraham	13
929	abreast	1
930	abrego	1
931	abroad	58
932	abrog	2
933	abrupt	1
934	abruptli	4
935	abscam	1
936	absenc	6
937	absent	4
938	absente	7
939	absentia	3
940	absolut	54
941	absorb	9
942	abstain	1
943	abstent	1
944	absurd	2
945	abu	13
946	abund	2
947	abus	31
948	abuseofpow	1
949	abuzaakouk	1
950	abyan	1
951	abyssinian	1
952	academ	6
953	academi	4
954	academia	1
955	acced	1
956	acceler	4
957	accent	4
958	accentu	2
959	accept	156
960	access	54
961	accid	48
962	accident	3
963	accommod	11
964	accompani	36
965	accomplic	5
966	accomplish	12
967	accord	189
968	accordingli	1
969	accordion	1
970	account	190
971	accredit	1
972	accumul	2
973	accur	15
974	accuraci	1
975	accus	146
976	accustom	2
977	ace	34
978	acerb	2
979	achiev	32
980	acid	2
981	acknowledg	61
982	acolyt	1
983	acosta	1
984	acquaint	2
985	acquiesc	1
986	acquir	6
987	acquisit	1
988	acquit	8
989	acquitt	3
990	acrimoni	2
991	acrobat	5
992	acronym	1
993	acrosstheboard	1
994	act	203
995	action	119
996	actionc	1
997	activ	111
998	activist	20
999	actor	4
1000	actress	2
1001	actual	93
1002	ad	149
1003	adam	9
1004	adapt	5
1005	add	20
1006	addali	2
1007	adden	1
1008	addit	80
1009	address	74
1010	adem	1
1011	aden	470
1012	adenabyan	11
1013	adenbas	1
1014	adequ	7
1015	adher	4
1016	adiksa	2
1017	adjac	4
1018	adjam	2
1019	adjoin	5
1020	adjourn	5
1021	adjust	7
1022	adlai	1
1023	adm	70
1024	admen	3
1025	administ	10
1026	administr	178
1027	administrationmedi	1
1028	admir	47
1029	admiralti	1
1030	admiringli	1
1031	admiss	2
1032	admit	42
1033	ado	4
1034	adob	1
1035	adolesc	2
1036	adopt	17
1037	adorn	1
1038	adoubi	3
1039	adrain	1
1040	adrenalin	1
1041	adriat	1
1042	adrift	8
1043	adult	10
1044	advanc	82
1045	advani	1
1046	advantag	21
1047	adventist	1
1048	adventur	2
1049	advers	2
1050	adversari	3
1051	advertis	12
1052	advic	6
1053	advis	100
1054	advisor	10
1055	advisori	2
1056	advoc	17
1057	advocaci	2
1058	aegi	6
1059	aegiss	1
1060	aerial	3
1061	aeroflot	2
1062	affabl	1
1063	affair	55
1064	affect	33
1065	affection	1
1066	affili	6
1067	affirm	6
1068	afflict	1
1069	afford	7
1070	affront	2
1071	afghan	31
1072	afghanarab	1
1073	afghanbas	3
1074	afghanistan	98
1075	afi	2
1076	afibia	4
1077	afield	1
1078	afir	2
1079	aflcio	2
1080	afloat	18
1081	afoul	4
1082	afraid	37
1083	afredo	1
1084	africa	106
1085	african	73
1086	africanamerican	1
1087	aft	4
1088	aftehock	1
1089	aftermath	17
1090	afternoon	75
1091	aftershock	67
1092	afterward	13
1093	afundament	1
1094	agarw	3
1095	agassi	204
1096	agbayani	2
1097	age	39
